,property_config,city,bin,bedroom_1,bedroom_2,bedroom_3,wall_a,wall_b,wall_c
77,1 BHK,Mumbai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
78,1 BHK,Mumbai,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
79,1 BHK,Mumbai,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
80,1 BHK,NCR,1,0.0,0.0,0.0,6.0,7.0,9.170891089108911
81,1 BHK,NCR,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
82,1 BHK,NCR,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
83,1 BHK,NCR,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
84,1 BHK,NCR,1,0.0,0.0,0.0,6.0,7.0,9.170891089108911
85,1 BHK,NCR,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
86,1 BHK,NCR,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
87,1 BHK,NCR,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
88,1 BHK,NCR,1,0.0,0.0,0.0,6.0,7.0,9.170891089108911
89,1 BHK,NCR,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
90,1 BHK,NCR,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
91,1 BHK,NCR,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
92,1 BHK,NCR,1,0.0,0.0,0.0,6.0,7.0,9.170891089108911
93,1 BHK,NCR,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
94,1 BHK,NCR,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
95,1 BHK,NCR,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
96,1 BHK,Pune,1,5.0,0.0,0.0,9.0,9.2,9.170891089108911
97,1 BHK,Pune,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
98,1 BHK,Pune,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
99,1 BHK,Pune,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
100,1 BHK,Pune,1,5.0,0.0,0.0,9.0,9.2,9.170891089108911
101,1 BHK,Pune,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
102,1 BHK,Pune,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
103,1 BHK,Pune,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
104,1 BHK,Pune,1,5.0,0.0,0.0,9.0,9.2,9.170891089108911
105,1 BHK,Pune,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
106,1 BHK,Pune,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
107,1 BHK,Pune,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
108,1 BHK,Pune,1,5.0,0.0,0.0,9.0,9.2,9.170891089108911
109,1 BHK,Pune,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
110,1 BHK,Pune,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
111,1 BHK,Pune,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
112,2 BHK,Bengaluru,1,7.963658536585366,8.385625,0.0,9.178292682926829,8.449268292682925,5.425
113,2 BHK,Bengaluru,2,7.646356589147286,8.17909090909091,0.0,8.931307692307692,8.345439999999998,8.407142857142857
114,2 BHK,Bengaluru,3,7.402916666666667,8.573658536585366,0.0,9.648,8.274081632653061,7.915
115,2 BHK,Bengaluru,4,6.0,8.111115044247788,0.0,8.9,8.6,9.170891089108911
116,2 BHK,Bengaluru,1,7.963658536585366,8.385625,0.0,9.178292682926829,8.449268292682925,5.425
117,2 BHK,Bengaluru,2,7.646356589147286,8.17909090909091,0.0,8.931307692307692,8.345439999999998,8.407142857142857
118,2 BHK,Bengaluru,3,7.402916666666667,8.573658536585366,0.0,9.648,8.274081632653061,7.915
119,2 BHK,Bengaluru,4,6.0,8.111115044247788,0.0,8.9,8.6,9.170891089108911
120,2 BHK,Bengaluru,1,7.963658536585366,8.385625,0.0,9.178292682926829,8.449268292682925,5.425
121,2 BHK,Bengaluru,2,7.646356589147286,8.17909090909091,0.0,8.931307692307692,8.345439999999998,8.407142857142857
122,2 BHK,Bengaluru,3,7.402916666666667,8.573658536585366,0.0,9.648,8.274081632653061,7.915
123,2 BHK,Bengaluru,4,6.0,8.111115044247788,0.0,8.9,8.6,9.170891089108911
124,2 BHK,Bengaluru,1,7.963658536585366,8.385625,0.0,9.178292682926829,8.449268292682925,5.425
125,2 BHK,Bengaluru,2,7.646356589147286,8.17909090909091,0.0,8.931307692307692,8.345439999999998,8.407142857142857
126,2 BHK,Bengaluru,3,7.402916666666667,8.573658536585366,0.0,9.648,8.274081632653061,7.915
127,2 BHK,Bengaluru,4,6.0,8.111115044247788,0.0,8.9,8.6,9.170891089108911
128,2 BHK,Chennai,1,6.0040000000000004,7.571428571428571,0.0,8.467333333333334,8.47962962962963,8.1
129,2 BHK,Chennai,2,3.592857142857143,6.675,0.0,8.621428571428572,9.066666666666668,8.166666666666666
130,2 BHK,Chennai,3,6.94,8.299999999999999,0.0,10.040000000000001,6.225,9.170891089108911
131,2 BHK,Chennai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
132,2 BHK,Chennai,1,6.0040000000000004,7.571428571428571,0.0,8.467333333333334,8.47962962962963,8.1
133,2 BHK,Chennai,2,3.592857142857143,6.675,0.0,8.621428571428572,9.066666666666668,8.166666666666666
134,2 BHK,Chennai,3,6.94,8.299999999999999,0.0,10.040000000000001,6.225,9.170891089108911
135,2 BHK,Chennai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
136,2 BHK,Chennai,1,6.0040000000000004,7.571428571428571,0.0,8.467333333333334,8.47962962962963,8.1
137,2 BHK,Chennai,2,3.592857142857143,6.675,0.0,8.621428571428572,9.066666666666668,8.166666666666666
138,2 BHK,Chennai,3,6.94,8.299999999999999,0.0,10.040000000000001,6.225,9.170891089108911
139,2 BHK,Chennai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
140,2 BHK,Chennai,1,6.0040000000000004,7.571428571428571,0.0,8.467333333333334,8.47962962962963,8.1
141,2 BHK,Chennai,2,3.592857142857143,6.675,0.0,8.621428571428572,9.066666666666668,8.166666666666666
142,2 BHK,Chennai,3,6.94,8.299999999999999,0.0,10.040000000000001,6.225,9.170891089108911
143,2 BHK,Chennai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
144,2 BHK,Hyderabad,1,8.866666666666667,9.066666666666666,0.0,9.533333333333333,10.233333333333333,9.170891089108911
145,2 BHK,Hyderabad,2,6.964545454545455,9.38875,0.0,10.946363636363635,11.210909090909091,8.6
146,2 BHK,Hyderabad,3,6.111764705882353,8.041666666666668,0.0,9.395,9.218235294117648,10.0
147,2 BHK,Hyderabad,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
148,2 BHK,Hyderabad,1,8.866666666666667,9.066666666666666,0.0,9.533333333333333,10.233333333333333,9.170891089108911
149,2 BHK,Hyderabad,2,6.964545454545455,9.38875,0.0,10.946363636363635,11.210909090909091,8.6
150,2 BHK,Hyderabad,3,6.111764705882353,8.041666666666668,0.0,9.395,9.218235294117648,10.0
151,2 BHK,Hyderabad,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
152,2 BHK,Hyderabad,1,8.866666666666667,9.066666666666666,0.0,9.533333333333333,10.233333333333333,9.170891089108911
153,2 BHK,Hyderabad,2,6.964545454545455,9.38875,0.0,10.946363636363635,11.210909090909091,8.6
154,2 BHK,Hyderabad,3,6.111764705882353,8.041666666666668,0.0,9.395,9.218235294117648,10.0
155,2 BHK,Hyderabad,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
156,2 BHK,Hyderabad,1,8.866666666666667,9.066666666666666,0.0,9.533333333333333,10.233333333333333,9.170891089108911
157,2 BHK,Hyderabad,2,6.964545454545455,9.38875,0.0,10.946363636363635,11.210909090909091,8.6
158,2 BHK,Hyderabad,3,6.111764705882353,8.041666666666668,0.0,9.395,9.218235294117648,10.0
159,2 BHK,Hyderabad,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
160,2 BHK,Kolkata,1,0.0,8.111115044247788,0.0,9.8,5.9,9.170891089108911
161,2 BHK,Kolkata,2,0.0,8.111115044247788,0.0,8.3,8.862295514511873,9.170891089108911
162,2 BHK,Kolkata,3,0.0,8.111115044247788,0.0,6.0,8.3,9.170891089108911
163,2 BHK,Kolkata,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
164,2 BHK,Kolkata,1,0.0,8.111115044247788,0.0,9.8,5.9,9.170891089108911
165,2 BHK,Kolkata,2,0.0,8.111115044247788,0.0,8.3,8.862295514511873,9.170891089108911
166,2 BHK,Kolkata,3,0.0,8.111115044247788,0.0,6.0,8.3,9.170891089108911
167,2 BHK,Kolkata,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
168,2 BHK,Kolkata,1,0.0,8.111115044247788,0.0,9.8,5.9,9.170891089108911
169,2 BHK,Kolkata,2,0.0,8.111115044247788,0.0,8.3,8.862295514511873,9.170891089108911
170,2 BHK,Kolkata,3,0.0,8.111115044247788,0.0,6.0,8.3,9.170891089108911
171,2 BHK,Kolkata,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
172,2 BHK,Kolkata,1,0.0,8.111115044247788,0.0,9.8,5.9,9.170891089108911
173,2 BHK,Kolkata,2,0.0,8.111115044247788,0.0,8.3,8.862295514511873,9.170891089108911
174,2 BHK,Kolkata,3,0.0,8.111115044247788,0.0,6.0,8.3,9.170891089108911
175,2 BHK,Kolkata,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
176,2 BHK,Mumbai,1,4.546964285714286,6.7909375,0.0,9.460892857142856,9.682037037037038,8.75
177,2 BHK,Mumbai,2,7.283333333333334,8.4,0.0,9.667499999999999,9.709999999999999,9.170891089108911
178,2 BHK,Mumbai,3,5.328571428571428,6.383333333333333,0.0,9.872857142857143,9.401428571428571,9.170891089108911
179,2 BHK,Mumbai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
180,2 BHK,Mumbai,1,4.546964285714286,6.7909375,0.0,9.460892857142856,9.682037037037038,8.75
181,2 BHK,Mumbai,2,7.283333333333334,8.4,0.0,9.667499999999999,9.709999999999999,9.170891089108911
182,2 BHK,Mumbai,3,5.328571428571428,6.383333333333333,0.0,9.872857142857143,9.401428571428571,9.170891089108911
183,2 BHK,Mumbai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
184,2 BHK,Mumbai,1,4.546964285714286,6.7909375,0.0,9.460892857142856,9.682037037037038,8.75
185,2 BHK,Mumbai,2,7.283333333333334,8.4,0.0,9.667499999999999,9.709999999999999,9.170891089108911
186,2 BHK,Mumbai,3,5.328571428571428,6.383333333333333,0.0,9.872857142857143,9.401428571428571,9.170891089108911
187,2 BHK,Mumbai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
188,2 BHK,Mumbai,1,4.546964285714286,6.7909375,0.0,9.460892857142856,9.682037037037038,8.75
189,2 BHK,Mumbai,2,7.283333333333334,8.4,0.0,9.667499999999999,9.709999999999999,9.170891089108911
190,2 BHK,Mumbai,3,5.328571428571428,6.383333333333333,0.0,9.872857142857143,9.401428571428571,9.170891089108911
191,2 BHK,Mumbai,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
192,2 BHK,NCR,1,5.200000000000001,7.279999999999999,0.0,7.371428571428572,9.142857142857142,13.0
193,2 BHK,NCR,2,4.97625,6.783333333333334,0.0,9.07625,8.385714285714284,9.170891089108911
194,2 BHK,NCR,3,3.0,4.0,0.0,7.05,8.4,7.0
195,2 BHK,NCR,4,0.0,8.111115044247788,0.0,6.1,9.3,9.170891089108911
196,2 BHK,NCR,1,5.200000000000001,7.279999999999999,0.0,7.371428571428572,9.142857142857142,13.0
197,2 BHK,NCR,2,4.97625,6.783333333333334,0.0,9.07625,8.385714285714284,9.170891089108911
198,2 BHK,NCR,3,3.0,4.0,0.0,7.05,8.4,7.0
199,2 BHK,NCR,4,0.0,8.111115044247788,0.0,6.1,9.3,9.170891089108911
200,2 BHK,NCR,1,5.200000000000001,7.279999999999999,0.0,7.371428571428572,9.142857142857142,13.0
201,2 BHK,NCR,2,4.97625,6.783333333333334,0.0,9.07625,8.385714285714284,9.170891089108911
202,2 BHK,NCR,3,3.0,4.0,0.0,7.05,8.4,7.0
203,2 BHK,NCR,4,0.0,8.111115044247788,0.0,6.1,9.3,9.170891089108911
204,2 BHK,NCR,1,5.200000000000001,7.279999999999999,0.0,7.371428571428572,9.142857142857142,13.0
205,2 BHK,NCR,2,4.97625,6.783333333333334,0.0,9.07625,8.385714285714284,9.170891089108911
206,2 BHK,NCR,3,3.0,4.0,0.0,7.05,8.4,7.0
207,2 BHK,NCR,4,0.0,8.111115044247788,0.0,6.1,9.3,9.170891089108911
208,2 BHK,Pune,1,3.9833333333333334,6.43,0.0,8.25,7.28875,4.6
209,2 BHK,Pune,2,10.0,10.9,0.0,10.7,6.0,9.170891089108911
210,2 BHK,Pune,3,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
211,2 BHK,Pune,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
212,2 BHK,Pune,1,3.9833333333333334,6.43,0.0,8.25,7.28875,4.6
213,2 BHK,Pune,2,10.0,10.9,0.0,10.7,6.0,9.170891089108911
214,2 BHK,Pune,3,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
215,2 BHK,Pune,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
216,2 BHK,Pune,1,3.9833333333333334,6.43,0.0,8.25,7.28875,4.6
